Apartment_ID,Building Age,floor,Bedrooms ,Living room,Guest room,Bathroom,Kitchen,Storage ,Maid's room ,Terrace,Garden,Roof,Duplex,Balcony,size,city,location,furnished,furnishing_level(1-5),Price per SQM,price,floor_number,is_basement,total_rooms,amenities_score,price_per_sqm,city_enc,location_enc,predicted_price,error,error_pct,price_range
A576,1,131,4,1,1,3,1,1,1,0,0,1,0,1,210,Amman,Bunayat,0,0,524.0,110040.0,1,0,10,4,524.0,1,36,112516.04900305784,-2476.0490030578367,-2.25,80K-120K
A577,1,132,4,1,1,3,1,1,1,0,0,1,0,1,210,Amman,Bunayat,0,0,530.0,111300.0,1,0,10,4,530.0,1,36,112516.04900305784,-1216.0490030578367,-1.09,80K-120K
A578,2,-101,2,1,1,3,1,1,0,0,0,0,0,0,140,Amman,Bunayat,0,0,483.0,67620.0,0,1,8,1,483.0,1,36,70915.12833467626,-3295.128334676265,-4.87,50K-80K
A579,2,-102,3,1,1,3,1,1,0,0,0,0,0,0,155,Amman,Bunayat,0,0,497.0,77035.0,0,1,9,1,497.0,1,36,78214.94703614182,-1179.9470361418207,-1.53,50K-80K
A580,2,101,2,1,1,3,1,1,0,0,0,0,0,0,145,Amman,Bunayat,0,0,648.0,93690.0,1,0,8,1,646.14,1,36,77537.39304056433,16152.606959435667,17.24,80K-120K
A581,2,102,3,1,1,3,1,1,0,1,0,0,0,0,160,Amman,Bunayat,0,0,645.0,103200.0,1,0,9,2,645.0,1,36,96514.19180331478,6685.808196685219,6.48,80K-120K
A582,2,111,2,1,1,3,1,1,0,0,0,0,0,1,150,Amman,Bunayat,0,0,579.0,86850.0,1,0,8,2,579.0,1,36,81673.90531631249,5176.094683687508,5.96,80K-120K
A583,2,112,3,1,1,3,1,1,0,0,0,0,0,1,160,Amman,Bunayat,0,0,581.0,92960.0,1,0,9,2,581.0,1,36,83411.8604009383,9548.139599061702,10.27,80K-120K
A584,2,121,2,1,1,3,1,1,0,0,0,0,0,1,160,Amman,Bunayat,0,0,579.0,92640.0,1,0,8,2,579.0,1,36,87443.74942565506,5196.250574344944,5.61,80K-120K
A585,2,122,3,1,1,3,1,1,0,0,0,0,0,1,162,Amman,Bunayat,0,0,581.0,94122.0,1,0,9,2,581.0,1,36,75184.77859608416,18937.221403915843,20.12,80K-120K
